List Sr.No.,Set No.,2022 Set,First Name,Surname,Name,Country,State Association,DOB,Age,Specialism,Batting,Bowling,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
305,33,UAL4,Dhruv,Patel,Dhruv Patel,India,BCA,12-09-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
306,33,UAL4,Atit,Sheth,Atit Sheth,India,BCA,03-02-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
307,33,UAL4,Utkarsh,Singh,Utkarsh Singh,India,JSCA,07-05-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,0,PBKS,,Uncapped,20,,
308,33,UAL4,David,Wiese,David Wiese,Namibia,,18-05-1985,36,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,15,RCB,,Associate,50,,
309,34,UWK3,Kaif,Ahmad,Kaif Ahmad,India,CAB,05-05-1997,24,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
310,34,UWK3,Shubhum,Arora,Shubhum Arora,India,HPCA,26-10-1997,24,WICKETKEEPER,LHB,-,,,,,,Uncapped,20,,
311,34,UWK3,Baba,Indrajith,Baba Indrajith,India,TNCA,08-07-1994,27,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
312,34,UWK3,Arun,Karthick,Arun Karthick,India,TNCA,15-02-1986,36,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,17,"CSK, RCB",,Uncapped,40,,
313,34,UWK3,Eknath,Kerkar,Eknath Kerkar,India,GCA,10-09-1993,28,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
314,34,UWK3,Kennar,Lewis,Kennar Lewis,West Indies,,18-08-1991,30,WICKETKEEPER,RHB,-,,,,,,Uncapped,40,,
315,34,UWK3,Nikhil,Naik,Nikhil Naik,India,MACA,09-11-1994,27,WICKETKEEPER,RHB,-,,,4,"KXIP, KKR",,Uncapped,20,,
316,34,UWK3,Urvil,Patel,Urvil Patel,India,GUCA,17-10-1998,23,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
317,34,UWK3,B.R.,Sharath,B.R. Sharath,India,KSCA,28-09-1996,25,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
318,34,UWK3,K.L.,Shrijith,K.L. Shrijith,India,KSCA,12-08-1996,25,WICKETKEEPER,LHB,-,,,,,,Uncapped,20,,
319,35,UFA4,Mohit,Avasthi,Mohit Avasthi,India,MCA,18-11-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
320,35,UFA4,Sushant,Mishra,Sushant Mishra,India,JSCA,23-12-2000,21,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
321,35,UFA4,Matheesha,Pathirana,Matheesha Pathirana,Sri Lanka,,18-12-2002,19,BOWLER,RHB,RIGHT ARM Fast,,,,,,Uncapped,20,,
322,35,UFA4,G,Periyasamy,G Periyasamy,India,TNCA,05-03-1994,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
323,35,UFA4,M.Harishankar,Reddy,M.Harishankar Reddy,India,ACA,02-06-1998,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
324,35,UFA4,R.,Silambarasan,R. Silambarasan,India,TNCA,07-03-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
325,35,UFA4,Aditya,Thakare,Aditya Thakare,India,VCA,08-11-1998,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
326,35,UFA4,Tanveer,Ul Haq,Tanveer Ul Haq,India,RCA,03-12-1991,30,BOWLER,RHB,LEFT ARM Fast,,,,,,Uncapped,20,,
327,35,UFA4,Kuldip,Yadav,Kuldip Yadav,India,DDCA,15-10-1996,25,BOWLER,LHB,LEFT ARM Fast,,,1,RR,1,Uncapped,20,,
328,35,UFA4,Prithviraj,Yarra,Prithviraj Yarra,India,ACA,20-02-1998,24,BOWLER,LHB,LEFT ARM Fast,,,2,"KKR, SRH",,Uncapped,20,,
329,36,USP3,Satyajeet,Bachhav,Satyajeet Bachhav,India,MACA,28-11-1992,29,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
330,36,USP3,Chintal,Gandhi,Chintal Gandhi,India,BCA,25-08-1994,27,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
331,36,USP3,Jacob,Lintott,Jacob Lintott,England,,22-04-1993,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,,,Uncapped,20,,
332,36,USP3,Izharulhuq,Naveed,Izharulhuq Naveed,Afghanistan,,10-11-2003,18,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
333,36,USP3,Tanveer,Sangha,Tanveer Sangha,Australia,,26-11-2001,20,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
334,36,USP3,Manav,Suthar,Manav Suthar,India,RCA,03-08-2002,19,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
335,36,USP3,Milind,Tandon,Milind Tandon,India,DDCA,29-10-1993,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,0,RPS,,Uncapped,20,,
336,36,USP3,Sagar,Udeshi,Sagar Udeshi,India,CAP,14-10-1986,35,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
337,36,USP3,Kushaal,Wadhwani,Kushaal Wadhwani,India,KSCA,01-11-1996,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
338,36,USP3,Akshay,Wakhare,Akshay Wakhare,India,VCA,03-10-1985,36,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
339,37,BA5,Darren,Bravo,Darren Bravo,West Indies,,06-02-1989,33,BATSMAN,LHB,-,56,119,22,1,KKR,Capped,75,,
340,37,BA5,Shamrah,Brooks,Shamrah Brooks,West Indies,,01-10-1988,33,BATSMAN,RHB,RIGHT ARM Leg Spin,8,3,3,,,Capped,50,,
341,37,BA5,Avishka,Fernando,Avishka Fernando,Sri Lanka,,05-04-1998,24,BATSMAN,RHB,RIGHT ARM Medium,26,30,,,,Capped,50,,
342,37,BA5,Zubayr,Hamza,Zubayr Hamza,South Africa,,19-06-1995,26,BATSMAN,RHB,RIGHT ARM Leg Spin,5,1,,,,Capped,50,,
343,37,BA5,Pathum,Nissaanka,Pathum Nissaanka,Sri Lanka,,18-05-1998,23,BATSMAN,RHB,RIGHT ARM Off Spin,6,9,12,,,Capped,50,,
344,37,BA5,Kurtis,Patterson,Kurtis Patterson,Australia,,05-04-1993,29,BATSMAN,LHB,-,2,,,,,Capped,50,,
345,37,BA5,Hashmatullah,Shahidi,Hashmatullah Shahidi,Afghanistan,,04-11-1994,27,BATSMAN,LHB,RIGHT ARM Off Spin,5,44,4,,,Capped,50,,
346,37,BA5,Manoj,Tiwary,Manoj Tiwary,India,CAB,14-11-1985,36,BATSMAN,RHB,RIGHT ARM Leg Spin,12,3,98,"DD, KKR, RPS, KXIP",,Capped,50,,
347,38,AL5,Ashton,Agar,Ashton Agar,Australia,,14-10-1993,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,4,15,40,,,Capped,200,,
348,38,AL5,Carlos,Brathwaite,Carlos Brathwaite,West Indies,,18-07-1988,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,44,41,16,"DD, SRH, KKR",Capped,75,,
349,38,AL5,Kedar,Jadhav,Kedar Jadhav,India,MACA,26-03-1985,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,73,9,93,"KTK, DD, RCB, CSK, SRH",SRH,7,Capped,100,
350,38,AL5,Chamika,Karunaratne,Chamika Karunaratne,Sri Lanka,,29-05-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,1,10,14,,,Capped,50,,
351,38,AL5,Colin,Munro,Colin Munro,New Zealand,,11-03-1987,35,ALL-ROUNDER,LHB,RIGHT ARM Medium,1,57,65,13,"KKR, DC",Capped,150,,
352,38,AL5,Gulbadin,Naib,Gulbadin Naib,Afghanistan,,04-06-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,68,53,,,,Capped,50,,
353,38,AL5,Keemo,Paul,Keemo Paul,West Indies,,21-02-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,29,20,8,DC,Capped,75,,
354,38,AL5,Parvez,Rasool,Parvez Rasool,India,JKCA,13-02-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,1,1,11,"PWI,SRH, RCB",,Capped,50,,
355,38,AL5,Dasun,Shanaka,Dasun Shanaka,Sri Lanka,,09-09-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,6,34,57,,,Capped,50,,
356,38,AL5,David,Willey,David Willey,England,,28-02-1990,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,52,32,3,CSK,,Capped,200,,
357,39,FA5,Varun,Aaron,Varun Aaron,India,JSCA,29-10-1989,32,BOWLER,RHB,RIGHT ARM Fast,9,9,50,"DD, RCB,KXIP, RR",,Capped,50,,
358,39,FA5,Wesley,Agar,Wesley Agar,Australia,,05-02-1997,25,BOWLER,RHB,RIGHT ARM Fast,2,,,,,Capped,50,,
359,39,FA5,Shoriful,Islam,Shoriful Islam,Bangladesh,,03-06-2001,20,BOWLER,LHB,LEFT ARM Fast Medium,,1,,,,Capped,50,,
360,39,FA5,Josh,Little,Josh Little,Ireland,,01-11-1999,22,BOWLER,RHB,LEFT ARM Fast Medium,19,27,,,,Capped,50,,
361,39,FA5,Blessing,Muzarabani,Blessing Muzarabani,Zimbabwe,,02-10-1996,25,BOWLER,RHB,RIGHT ARM Fast,6,27,21,,,Capped,50,,
362,39,FA5,Jayden,Seales,Jayden Seales,West Indies,,10-09-2001,20,BOWLER,LHB,RIGHT ARM Fast,4,,,,,Capped,50,,
363,39,FA5,Mohit,Sharma,Mohit Sharma,India,HCA,18-09-1988,33,BOWLER,RHB,RIGHT ARM Fast Medium,26,8,86,"KXIP, CSK, DC",,Capped,50,,
364,39,FA5,Barinder,Sran,Barinder Sran,India,PCA,10-12-1992,29,BOWLER,LHB,LEFT ARM Fast Medium,6,2,24,"RR, SRH, KXIP, MI",,Capped,50,,
365,39,FA5,Billy,Stanlake,Billy Stanlake,Australia,,04-11-1994,27,BOWLER,LHB,RIGHT ARM Fast,7,19,6,"RCB, SRH",,Capped,75,,
366,39,FA5,Neil,Wagner,Neil Wagner,New Zealand,,13-03-1986,36,BOWLER,LHB,LEFT ARM Fast Medium,54,,,,,Capped,50,,
367,40,UBA5,Qamran,Iqbal,Qamran Iqbal,India,JKCA,17-10-2001,20,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
368,40,UBA5,Ishank,Jaggi,Ishank Jaggi,India,JSCA,27-01-1989,33,BATSMAN,RHB,-,,,7,"DCH, KKR",,Uncapped,20,,
369,40,UBA5,Rohan,Kunnummal,Rohan Kunnummal,India,KCA,10-05-1998,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
370,40,UBA5,Tanmay,Mishra,Tanmay Mishra,India,MCA,22-12-1986,35,BATSMAN,RHB,RIGHT ARM Off Spin,,,1,DCH,,Uncapped,20,,
371,40,UBA5,Yash,Nahar,Yash Nahar,India,MACA,10-10-1994,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
372,40,UBA5,Shubham Singh,Rohilla,Shubham Singh Rohilla,India,HCA,10-03-1998,24,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,Uncapped,20,,
373,40,UBA5,Alex,Ross,Alex Ross,Australia,,17-04-1992,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
374,40,UBA5,R,Samarth,R Samarth,India,KSCA,22-01-1993,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
375,40,UBA5,Naushad,Shaikh,Naushad Shaikh,India,MACA,15-10-1991,30,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
376,40,UBA5,Abhijeet,Tomar,Abhijeet Tomar,India,RCA,14-03-1995,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
377,41,UAL5,Baba,Aparajith,Baba Aparajith,India,TNCA,08-07-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,0,RPS,,Uncapped,20,,
378,41,UAL5,Prayas,Barman,Prayas Barman,India,CAB,25-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,1,RCB,,Uncapped,20,,
379,41,UAL5,Yudhvir,Charak,Yudhvir Charak,India,HYCA,13-09-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,0,MI,MI,0,Uncapped,20,
380,41,UAL5,Shubhang,Hegde,Shubhang Hegde,India,KSCA,30-03-2001,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
381,41,UAL5,Roosh,Kalaria,Roosh Kalaria,India,GUCA,16-01-1993,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
382,41,UAL5,Aman,Khan,Aman Khan,India,MCA,23-11-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,Uncapped,20,,
383,41,UAL5,Tanush,Kotian,Tanush Kotian,India,MCA,16-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
384,41,UAL5,Pradeep,Sangwan,Pradeep Sangwan,India,DDCA,05-11-1990,31,ALL-ROUNDER,RHB,LEFT ARM Fast,,,39,"DD, GL, MI",,Uncapped,20,,
385,41,UAL5,Kaushal,Tambe,Kaushal Tambe,India,MACA,14-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
386,41,UAL5,Shivank,Vashisth,Shivank Vashisth,India,DDCA,17-09-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,Uncapped,20,,
387,42,UWK4,Rahul,Chandrol,Rahul Chandrol,India,MPCA,13-10-2000,21,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
388,42,UWK4,Harvik,Desai,Harvik Desai,India,SCA,04-10-1999,22,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
389,42,UWK4,Cam,Fletcher,Cam Fletcher,New Zealand,,01-03-1993,29,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
390,42,UWK4,Tarang,Gohel,Tarang Gohel,India,SCA,17-08-1999,22,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
391,42,UWK4,Fazil,Makaya,Fazil Makaya,India,JKCA,11-12-1996,25,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
392,42,UWK4,Ryan,Rickelton,Ryan Rickelton,South Africa,,11-07-1996,25,WICKETKEEPER,LHB,-,,,,,,Uncapped,20,,
393,42,UWK4,Sandeep Kumar,Tomar,Sandeep Kumar Tomar,India,UPCA,23-08-1998,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,,,Uncapped,20,,
394,42,UWK4,Siddhesh,Wath,Siddhesh Wath,India,VCA,03-07-1997,24,WICKETKEEPER,RHB,-,,,,,,Uncapped,20,,
395,43,UFA5,Stephen,Cheepurupalli,Stephen Cheepurupalli,India,ACA,03-12-1993,28,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,Uncapped,20,,
396,43,UFA5,Aniket,Choudhary,Aniket Choudhary,India,RCA,28-01-1990,32,BOWLER,RHB,LEFT ARM Fast Medium,,,5,RCB,,Uncapped,20,,
397,43,UFA5,Kartikeya,Kak,Kartikeya Kak,India,HYCA,04-10-1996,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
398,43,UFA5,Ali,Khan,Ali Khan,USA,,13-12-1990,31,BOWLER,RHB,RIGHT ARM Fast,,,0,KKR,,,Associate,40,
399,43,UFA5,Kulwant,Khejroliya,Kulwant Khejroliya,India,DDCA,13-03-1992,30,BOWLER,LHB,LEFT ARM Fast,,,5,"MI, RCB, DC",DC,0,Uncapped,20,
400,43,UFA5,Ronit,More,Ronit More,India,KSCA,02-02-1992,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,2,CSK,,,Uncapped,20,
401,43,UFA5,M,Nidheesh,M Nidheesh,India,KCA,05-09-1991,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,0,MI,,,Uncapped,20,
402,43,UFA5,Babasafi,Pathan,Babasafi Pathan,India,BCA,19-08-1994,27,BOWLER,RHB,RIGHT ARM Fast,,,,,,,Uncapped,20,
403,43,UFA5,Vidyadhar,Patil,Vidyadhar Patil,India,KSCA,05-09-2000,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
404,43,UFA5,Mukesh Kumar,Singh,Mukesh Kumar Singh,India,CAB,12-10-1993,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
405,44,USP4,R.,Alexandar,R. Alexandar,India,TNCA,10-05-1995,26,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,Uncapped,20,
406,44,USP4,Adithya,Ashok,Adithya Ashok,New Zealand,,05-09-2002,19,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,Uncapped,20,
407,44,USP4,Jasmer,Dhankhar,Jasmer Dhankhar,India,UPCA,16-10-1998,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,Uncapped,20,
408,44,USP4,Prerit,Dutta,Prerit Dutta,India,PCA,22-09-1998,23,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,Uncapped,20,
409,44,USP4,Jon Russ,Jaggesar,Jon Russ Jaggesar,West Indies,,19-03-1986,36,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,,Uncapped,20,
410,44,USP4,S.,Kishan Kumar,S. Kishan Kumar,India,TNCA,06-02-2000,22,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,Uncapped,20,
411,44,USP4,Kevin,Koththigoda,Kevin Koththigoda,Sri Lanka,,04-10-1998,23,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,Uncapped,20,
412,44,USP4,Swaraj,Wabale,Swaraj Wabale,India,MACA,16-12-1997,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,Uncapped,20,
413,45,AL6,Curtis,Campher,Curtis Campher,Ireland,,20-04-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,13,9,,,,,Capped,50,
414,45,AL6,Colin,De Grandhomme,Colin De Grandhomme,New Zealand,,22-07-1986,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,26,42,41,25,"KKR, RCB",,Capped,100,
415,45,AL6,James,Faulkner,James Faulkner,Australia,,29-04-1990,31,ALL-ROUNDER,RHB,LEFT ARM Medium,1,69,24,60,"PWI, KXIP, RR, GL",,Capped,100,
416,45,AL6,Craig,Overton,Craig Overton,England,,10-04-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,6,4,,,,,Capped,200,
417,45,AL6,Wayne,Parnell,Wayne Parnell,South Africa,,30-07-1989,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,6,66,40,26,"PWI, DD",,Capped,50,
418,45,AL6,Samit,Patel,Samit Patel,England,,30-11-1984,37,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,6,36,18,,,,Capped,50,
419,45,AL6,Thisara,Perera,Thisara Perera,Sri Lanka,,03-04-1989,33,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,6,166,84,37,"CSK, KTK, MI, SRH, KXIP, RPS",,Capped,50,
420,45,AL6,Darcy,Short,Darcy Short,Australia,,09-08-1990,31,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,8,23,7,RR,,,Capped,100,
421,45,AL6,Murali,Vijay,Murali Vijay,India,TNCA,01-04-1984,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,61,17,9,106,"DD, KXIP, CSK",,Capped,50,
422,45,AL6,Jack,Wildermuth,Jack Wildermuth,Australia,,01-09-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,2,,,,,Capped,50,
423,46,FA6,Hamish,Bennett,Hamish Bennett,New Zealand,,22-02-1987,35,BOWLER,LHB,RIGHT ARM Fast Medium,1,19,11,,,,Capped,50,
424,46,FA6,Daryn,Dupavillon,Daryn Dupavillon,South Africa,,15-07-1994,27,BOWLER,RHB,RIGHT ARM Fast,2,,,,,,Capped,50,
425,46,FA6,Fidel,Edwards,Fidel Edwards,West Indies,,06-02-1982,40,BOWLER,RHB,RIGHT ARM Fast,55,50,26,6,DCH,,Capped,50,
426,46,FA6,Hamid,Hassan,Hamid Hassan,Afghanistan,,01-06-1987,34,BOWLER,RHB,RIGHT ARM Fast,38,25,,,,,Capped,50,
427,46,FA6,Lahiru,Kumara,Lahiru Kumara,Sri Lanka,,13-02-1997,25,BOWLER,RHB,RIGHT ARM Fast,23,13,14,,,,Capped,50,
428,46,FA6,Joel,Paris,Joel Paris,Australia,,11-12-1992,29,BOWLER,LHB,LEFT ARM Fast Medium,2,,,,,,Capped,50,
429,46,FA6,S.,Sreesanth,S. Sreesanth,India,KCA,06-02-1983,39,BOWLER,RHB,RIGHT ARM Fast Medium,27,53,10,44,"KXIP, KTK, RR",,Capped,50,
430,46,FA6,Oshane,Thomas,Oshane Thomas,West Indies,,18-02-1997,25,BOWLER,LHB,RIGHT ARM Fast,20,20,4,RR,,,Capped,50,
431,46,FA6,Blair,Tickner,Blair Tickner,New Zealand,,13-10-1993,28,BOWLER,RHB,RIGHT ARM Fast,,8,,,,,Capped,50,
432,46,FA6,Isuru,Udana,Isuru Udana,Sri Lanka,,17-02-1988,34,BOWLER,RHB,LEFT ARM Fast Medium,21,35,10,RCB,,,Capped,50,
433,47,UBA6,Donavon,Ferreira,Donavon Ferreira,South Africa,,21-07-1998,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,Uncapped,20,
434,47,UBA6,Ramesh,Kumar,Ramesh Kumar,India,PCA,01-01-1999,23,BATSMAN,LHB,-,,,,,,,Uncapped,20,
435,47,UBA6,Bhupen,Lalwani,Bhupen Lalwani,India,MCA,07-04-1999,23,BATSMAN,RHB,-,,,,,,,Uncapped,20,
436,47,UBA6,Henan,Malik,Henan Malik,India,JKCA,25-03-1997,25,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
437,47,UBA6,Pukhraj,Mann,Pukhraj Mann,India,PCA,07-06-2001,20,BATSMAN,LHB,LEFT ARM Slow Orthodox,,,,,,,Uncapped,20,
438,47,UBA6,Shashwat,Rawat,Shashwat Rawat,India,BCA,06-04-2001,21,BATSMAN,LHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
439,47,UBA6,Pratham,Singh,Pratham Singh,India,RSPB,31-08-1992,29,BATSMAN,LHB,RIGHT ARM Off Spin,,,0,GL,,,Uncapped,20,
440,47,UBA6,Jake,Weatherald,Jake Weatherald,Australia,,04-11-1994,27,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,,Uncapped,20,
441,48,UAL6,Writtick,Chatterjee,Writtick Chatterjee,India,CAB,28-09-1992,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,Uncapped,20,
442,48,UAL6,Gerald,Coetzee,Gerald Coetzee,South Africa,,02-10-2000,21,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,Uncapped,20,
443,48,UAL6,Akshay,Karnewar,Akshay Karnewar,India,VCA,12-10-1992,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,Uncapped,20,
444,48,UAL6,Sumit,Kumar,Sumit Kumar,India,HCA,12-12-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,Uncapped,20,
445,48,UAL6,Abid,Mushtaq,Abid Mushtaq,India,JKCA,17-01-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,Uncapped,20,
446,48,UAL6,Lone,Muzaffar,Lone Muzaffar,India,JKCA,05-09-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
447,48,UAL6,Ninad,Rathva,Ninad Rathva,India,BCA,10-03-1999,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,Uncapped,20,
448,48,UAL6,Shoun,Roger,Shoun Roger,India,KCA,16-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,Uncapped,20,
449,48,UAL6,Hrithik,Shokeen,Hrithik Shokeen,India,DDCA,14-08-2000,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,Uncapped,20,
450,48,UAL6,Shashank,Singh,Shashank Singh,India,CSCSCA,21-11-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,0,"DD, RR",,,Uncapped,20,
451,49,UFA6,Jaideep,Bhambhu,Jaideep Bhambhu,India,HCA,19-03-1999,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
452,49,UFA6,Nandre,Burger,Nandre Burger,South Africa,,11-08-1995,26,BOWLER,LHB,LEFT ARM Fast,,,,,,,Uncapped,20,
453,49,UFA6,Matt,Kelly,Matt Kelly,Australia,,07-12-1994,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,0,KKR,,,Uncapped,30,
454,49,UFA6,V,Koushik,V Koushik,India,KSCA,19-09-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
455,49,UFA6,Akash,Madhwal,Akash Madhwal,India,CAU,25-11-1993,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
456,49,UFA6,Amit,Mishra,Amit Mishra,India,UPCA,11-11-1991,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,0,"RR, GL",,,Uncapped,20,
457,49,UFA6,Anuj,Raj,Anuj Raj,India,BICA,01-11-2000,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,Uncapped,20,
458,49,UFA6,Abhijeet,Saket,Abhijeet Saket,India,BICA,03-08-1995,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
459,49,UFA6,Rahul,Shukla,Rahul Shukla,India,JSCA,28-08-1990,31,BOWLER,RHB,RIGHT ARM Fast,,,7,"MI, RR, DD",,,Uncapped,20,
460,49,UFA6,Nuwan,Thushara,Nuwan Thushara,Sri Lanka,,06-08-1994,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,Uncapped,20,
461,50,AL7,Mark,Adnair,Mark Adnair,Ireland,,27-03-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,1,24,31,,,,Capped,50,
462,50,AL7,Hilton,Cartwright,Hilton Cartwright,Australia,,14-02-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,2,2,,,,,Capped,50,
463,50,AL7,Gareth,Delany,Gareth Delany,Ireland,,28-04-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,12,29,,,,Capped,50,,
464,50,AL7,Danushka,Gunatilaka,Danushka Gunatilaka,Sri Lanka,,17-03-1991,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,8,44,30,,,Capped,50,,
465,50,AL7,Anaru,Kitchen,Anaru Kitchen,New Zealand,,21-02-1984,38,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,5,,,,Capped,50,,
